"","Subject","Activity","Measurements","Mean"
"34",6,"WALKING","tBodyAcc-mean()-X",0.29068479
"35",6,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.257530235
"36",6,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.25738042
"37",7,"LAYING","tBodyAcc-mean()-X",0.27366918
"38",7,"SITTING","tBodyAcc-mean()-X",0.27737879
"39",7,"STANDING","tBodyAcc-mean()-X",0.27853082
"40",7,"WALKING","tBodyAcc-mean()-X",0.27832449
"41",7,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.27667442
"42",7,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.24625486
"43",8,"LAYING","tBodyAcc-mean()-X",0.276487445
"44",8,"SITTING","tBodyAcc-mean()-X",0.275821215
"45",8,"STANDING","tBodyAcc-mean()-X",0.27752104
"46",8,"WALKING","tBodyAcc-mean()-X",0.28250149
"47",8,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.280388165
"48",8,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.24277673
"49",9,"LAYING","tBodyAcc-mean()-X",0.280475515
"50",9,"SITTING","tBodyAcc-mean()-X",0.277485975
"51",9,"STANDING","tBodyAcc-mean()-X",0.27788523
"52",9,"WALKING","tBodyAcc-mean()-X",0.281641435
"53",9,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.31542472
"54",9,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26206247
"55",10,"LAYING","tBodyAcc-mean()-X",0.276443125
"56",10,"SITTING","tBodyAcc-mean()-X",0.277589575
"57",10,"STANDING","tBodyAcc-mean()-X",0.277687915
"58",10,"WALKING","tBodyAcc-mean()-X",0.28955936
"59",10,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.280869325
"60",10,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.2627822
"61",11,"LAYING","tBodyAcc-mean()-X",0.2775705
"62",11,"SITTING","tBodyAcc-mean()-X",0.2770158
"63",11,"STANDING","tBodyAcc-mean()-X",0.27750302
"64",11,"WALKING","tBodyAcc-mean()-X",0.26551623
"65",11,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.29316116
"66",11,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26825127
"67",12,"LAYING","tBodyAcc-mean()-X",0.275015815
"68",12,"SITTING","tBodyAcc-mean()-X",0.27718902
"69",12,"STANDING","tBodyAcc-mean()-X",0.27753804
"70",12,"WALKING","tBodyAcc-mean()-X",0.277142965
"71",12,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.281394195
"72",12,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27815465
"73",13,"LAYING","tBodyAcc-mean()-X",0.27501254
"74",13,"SITTING","tBodyAcc-mean()-X",0.27804531
"75",13,"STANDING","tBodyAcc-mean()-X",0.27645357
"76",13,"WALKING","tBodyAcc-mean()-X",0.27433354
"77",13,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.29203873
"78",13,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.25917503
"79",14,"LAYING","tBodyAcc-mean()-X",0.28360396
"80",14,"SITTING","tBodyAcc-mean()-X",0.27778169
"81",14,"STANDING","tBodyAcc-mean()-X",0.276198815
"82",14,"WALKING","tBodyAcc-mean()-X",0.2643551
"83",14,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.2852345
"84",14,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26387826
"85",15,"LAYING","tBodyAcc-mean()-X",0.275922675
"86",15,"SITTING","tBodyAcc-mean()-X",0.27710898
"87",15,"STANDING","tBodyAcc-mean()-X",0.27728965
"88",15,"WALKING","tBodyAcc-mean()-X",0.27776142
"89",15,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.270314775
"90",15,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.270597285
"91",16,"LAYING","tBodyAcc-mean()-X",0.2779397
"92",16,"SITTING","tBodyAcc-mean()-X",0.27750347
"93",16,"STANDING","tBodyAcc-mean()-X",0.2773795
"94",16,"WALKING","tBodyAcc-mean()-X",0.26777634
"95",16,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.32048637
"96",16,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26211586
"97",17,"LAYING","tBodyAcc-mean()-X",0.27573948
"98",17,"SITTING","tBodyAcc-mean()-X",0.27749695
"99",17,"STANDING","tBodyAcc-mean()-X",0.276385055
"100",17,"WALKING","tBodyAcc-mean()-X",0.26988257
"101",17,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.288222555
"102",17,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.241846355
"103",18,"LAYING","tBodyAcc-mean()-X",0.27773845
"104",18,"SITTING","tBodyAcc-mean()-X",0.2775731
"105",18,"STANDING","tBodyAcc-mean()-X",0.27816633
"106",18,"WALKING","tBodyAcc-mean()-X",0.276139695
"107",18,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.28331998
"108",18,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.2813948
"109",19,"LAYING","tBodyAcc-mean()-X",0.27527033
"110",19,"SITTING","tBodyAcc-mean()-X",0.27646421
"111",19,"STANDING","tBodyAcc-mean()-X",0.27763685
"112",19,"WALKING","tBodyAcc-mean()-X",0.27546336
"113",19,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.26823055
"114",19,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.270461455
"115",20,"LAYING","tBodyAcc-mean()-X",0.270040315
"116",20,"SITTING","tBodyAcc-mean()-X",0.276813255
"117",20,"STANDING","tBodyAcc-mean()-X",0.27746257
"118",20,"WALKING","tBodyAcc-mean()-X",0.27175777
"119",20,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.2987442
"120",20,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.24488508
"121",21,"LAYING","tBodyAcc-mean()-X",0.272792475
"122",21,"SITTING","tBodyAcc-mean()-X",0.27736149
"123",21,"STANDING","tBodyAcc-mean()-X",0.27745004
"124",21,"WALKING","tBodyAcc-mean()-X",0.27679046
"125",21,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.2629554
"126",21,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27550024
"127",22,"LAYING","tBodyAcc-mean()-X",0.2768252
"128",22,"SITTING","tBodyAcc-mean()-X",0.278655565
"129",22,"STANDING","tBodyAcc-mean()-X",0.27760421
"130",22,"WALKING","tBodyAcc-mean()-X",0.28050243
"131",22,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.273916765
"132",22,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27434423
"133",23,"LAYING","tBodyAcc-mean()-X",0.275473255
"134",23,"SITTING","tBodyAcc-mean()-X",0.276981575
"135",23,"STANDING","tBodyAcc-mean()-X",0.27721744
"136",23,"WALKING","tBodyAcc-mean()-X",0.26819376
"137",23,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.288880525
"138",23,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.24971406
"139",24,"LAYING","tBodyAcc-mean()-X",0.27844006
"140",24,"SITTING","tBodyAcc-mean()-X",0.277035105
"141",24,"STANDING","tBodyAcc-mean()-X",0.27868574
"142",24,"WALKING","tBodyAcc-mean()-X",0.277109965
"143",24,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.28905798
"144",24,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27438106
"145",25,"LAYING","tBodyAcc-mean()-X",0.27012458
"146",25,"SITTING","tBodyAcc-mean()-X",0.27758272
"147",25,"STANDING","tBodyAcc-mean()-X",0.27757338
"148",25,"WALKING","tBodyAcc-mean()-X",0.282467365
"149",25,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.301506915
"150",25,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.28776558
"151",26,"LAYING","tBodyAcc-mean()-X",0.27787136
"152",26,"SITTING","tBodyAcc-mean()-X",0.27773901
"153",26,"STANDING","tBodyAcc-mean()-X",0.277923405
"154",26,"WALKING","tBodyAcc-mean()-X",0.27388636
"155",26,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.26774881
"156",26,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26643709
"157",27,"LAYING","tBodyAcc-mean()-X",0.275304135
"158",27,"SITTING","tBodyAcc-mean()-X",0.277053265
"159",27,"STANDING","tBodyAcc-mean()-X",0.27750493
"160",27,"WALKING","tBodyAcc-mean()-X",0.2703342
"161",27,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.30717693
"162",27,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26843012
"163",28,"LAYING","tBodyAcc-mean()-X",0.27826383
"164",28,"SITTING","tBodyAcc-mean()-X",0.27670249
"165",28,"STANDING","tBodyAcc-mean()-X",0.27776525
"166",28,"WALKING","tBodyAcc-mean()-X",0.282624945
"167",28,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.302536315
"168",28,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26002445
"169",29,"LAYING","tBodyAcc-mean()-X",0.27820536
"170",29,"SITTING","tBodyAcc-mean()-X",0.27760107
"171",29,"STANDING","tBodyAcc-mean()-X",0.2776083
"172",29,"WALKING","tBodyAcc-mean()-X",0.27247382
"173",29,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.301873275
"174",29,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.26259225
"175",30,"LAYING","tBodyAcc-mean()-X",0.279853235
"176",30,"SITTING","tBodyAcc-mean()-X",0.278977235
"177",30,"STANDING","tBodyAcc-mean()-X",0.27777234
"178",30,"WALKING","tBodyAcc-mean()-X",0.27362878
"179",30,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-X",0.281239805
"180",30,"WALKING_UPSTAIRS","tBodyAcc-mean()-X",0.27385271
"181",1,"LAYING","tBodyAcc-mean()-Y",-0.0176645035
"182",1,"SITTING","tBodyAcc-mean()-Y",-0.015873588
"183",1,"STANDING","tBodyAcc-mean()-Y",-0.016979698
"184",1,"WALKING","tBodyAcc-mean()-Y",-0.018079718
"185",1,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0075220252
"186",1,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.021954576
"187",2,"LAYING","tBodyAcc-mean()-Y",-0.017627091
"188",2,"SITTING","tBodyAcc-mean()-Y",-0.0154911725
"189",2,"STANDING","tBodyAcc-mean()-Y",-0.0185121125
"190",2,"WALKING","tBodyAcc-mean()-Y",-0.016486852
"191",2,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.018153403
"192",2,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.014387314
"193",3,"LAYING","tBodyAcc-mean()-Y",-0.017882475
"194",3,"SITTING","tBodyAcc-mean()-Y",-0.0155442555
"195",3,"STANDING","tBodyAcc-mean()-Y",-0.016447003
"196",3,"WALKING","tBodyAcc-mean()-Y",-0.0188662285
"197",3,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.016522642
"198",3,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.021686009
"199",4,"LAYING","tBodyAcc-mean()-Y",-0.016757346
"200",4,"SITTING","tBodyAcc-mean()-Y",-0.0132727485
"201",4,"STANDING","tBodyAcc-mean()-Y",-0.0190406745
"202",4,"WALKING","tBodyAcc-mean()-Y",-0.0163644595
"203",4,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.007301699
"204",4,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0227290895
"205",5,"LAYING","tBodyAcc-mean()-Y",-0.017245594
"206",5,"SITTING","tBodyAcc-mean()-Y",-0.016117988
"207",5,"STANDING","tBodyAcc-mean()-Y",-0.0171991295
"208",5,"WALKING","tBodyAcc-mean()-Y",-0.012560005
"209",5,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.015919992
"210",5,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.02434702
"211",6,"LAYING","tBodyAcc-mean()-Y",-0.016614385
"212",6,"SITTING","tBodyAcc-mean()-Y",-0.015453395
"213",6,"STANDING","tBodyAcc-mean()-Y",-0.017158752
"214",6,"WALKING","tBodyAcc-mean()-Y",-0.01510003
"215",6,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0256648445
"216",6,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.025805234
"217",7,"LAYING","tBodyAcc-mean()-Y",-0.0186151225
"218",7,"SITTING","tBodyAcc-mean()-Y",-0.015579457
"219",7,"STANDING","tBodyAcc-mean()-Y",-0.016044259
"220",7,"WALKING","tBodyAcc-mean()-Y",-0.017606195
"221",7,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.018115608
"222",7,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.02476739
"223",8,"LAYING","tBodyAcc-mean()-Y",-0.017456551
"224",8,"SITTING","tBodyAcc-mean()-Y",-0.0145970575
"225",8,"STANDING","tBodyAcc-mean()-Y",-0.0166625655
"226",8,"WALKING","tBodyAcc-mean()-Y",-0.0156892135
"227",8,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.020198029
"228",8,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.029456692
"229",9,"LAYING","tBodyAcc-mean()-Y",-0.018525013
"230",9,"SITTING","tBodyAcc-mean()-Y",-0.017970406
"231",9,"STANDING","tBodyAcc-mean()-Y",-0.017987423
"232",9,"WALKING","tBodyAcc-mean()-Y",-0.018768633
"233",9,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.021467702
"234",9,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.016602169
"235",10,"LAYING","tBodyAcc-mean()-Y",-0.01720276
"236",10,"SITTING","tBodyAcc-mean()-Y",-0.0167788245
"237",10,"STANDING","tBodyAcc-mean()-Y",-0.0172570525
"238",10,"WALKING","tBodyAcc-mean()-Y",-0.01423203
"239",10,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0241648965
"240",10,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.020258146
"241",11,"LAYING","tBodyAcc-mean()-Y",-0.017091002
"242",11,"SITTING","tBodyAcc-mean()-Y",-0.016978725
"243",11,"STANDING","tBodyAcc-mean()-Y",-0.017135346
"244",11,"WALKING","tBodyAcc-mean()-Y",-0.015628252
"245",11,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0222445975
"246",11,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.02283303
"247",12,"LAYING","tBodyAcc-mean()-Y",-0.0169303845
"248",12,"SITTING","tBodyAcc-mean()-Y",-0.015001701
"249",12,"STANDING","tBodyAcc-mean()-Y",-0.016703523
"250",12,"WALKING","tBodyAcc-mean()-Y",-0.015406348
"251",12,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.019137296
"252",12,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0228877295
"253",13,"LAYING","tBodyAcc-mean()-Y",-0.0173581815
"254",13,"SITTING","tBodyAcc-mean()-Y",-0.014777913
"255",13,"STANDING","tBodyAcc-mean()-Y",-0.017620006
"256",13,"WALKING","tBodyAcc-mean()-Y",-0.019673053
"257",13,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.015191303
"258",13,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.020752164
"259",14,"LAYING","tBodyAcc-mean()-Y",-0.018967112
"260",14,"SITTING","tBodyAcc-mean()-Y",-0.015037314
"261",14,"STANDING","tBodyAcc-mean()-Y",-0.017380774
"262",14,"WALKING","tBodyAcc-mean()-Y",-0.019306755
"263",14,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.016799522
"264",14,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.014978168
"265",15,"LAYING","tBodyAcc-mean()-Y",-0.01713047
"266",15,"SITTING","tBodyAcc-mean()-Y",-0.016904565
"267",15,"STANDING","tBodyAcc-mean()-Y",-0.019743196
"268",15,"WALKING","tBodyAcc-mean()-Y",-0.015376008
"269",15,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.00770905725
"270",15,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.022305314
"271",16,"LAYING","tBodyAcc-mean()-Y",-0.0156763105
"272",16,"SITTING","tBodyAcc-mean()-Y",-0.016541784
"273",16,"STANDING","tBodyAcc-mean()-Y",-0.017152973
"274",16,"WALKING","tBodyAcc-mean()-Y",-0.019499321
"275",16,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.020436641
"276",16,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.017301965
"277",17,"LAYING","tBodyAcc-mean()-Y",-0.017652951
"278",17,"SITTING","tBodyAcc-mean()-Y",-0.0169369275
"279",17,"STANDING","tBodyAcc-mean()-Y",-0.017511592
"280",17,"WALKING","tBodyAcc-mean()-Y",-0.016465953
"281",17,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0156399755
"282",17,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.02684643
"283",18,"LAYING","tBodyAcc-mean()-Y",-0.01739076
"284",18,"SITTING","tBodyAcc-mean()-Y",-0.0157962
"285",18,"STANDING","tBodyAcc-mean()-Y",-0.016397819
"286",18,"WALKING","tBodyAcc-mean()-Y",-0.019446004
"287",18,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.018503285
"288",18,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0213906605
"289",19,"LAYING","tBodyAcc-mean()-Y",-0.017489111
"290",19,"SITTING","tBodyAcc-mean()-Y",-0.016835252
"291",19,"STANDING","tBodyAcc-mean()-Y",-0.015703493
"292",19,"WALKING","tBodyAcc-mean()-Y",-0.014784003
"293",19,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.02078636
"294",19,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0233262885
"295",20,"LAYING","tBodyAcc-mean()-Y",-0.0166338145
"296",20,"SITTING","tBodyAcc-mean()-Y",-0.016142609
"297",20,"STANDING","tBodyAcc-mean()-Y",-0.017440874
"298",20,"WALKING","tBodyAcc-mean()-Y",-0.020092456
"299",20,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.015351658
"300",20,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.024854152
"301",21,"LAYING","tBodyAcc-mean()-Y",-0.0177151375
"302",21,"SITTING","tBodyAcc-mean()-Y",-0.015047428
"303",21,"STANDING","tBodyAcc-mean()-Y",-0.016857152
"304",21,"WALKING","tBodyAcc-mean()-Y",-0.0194178765
"305",21,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.010253383
"306",21,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.022455654
"307",22,"LAYING","tBodyAcc-mean()-Y",-0.017061067
"308",22,"SITTING","tBodyAcc-mean()-Y",-0.0180575385
"309",22,"STANDING","tBodyAcc-mean()-Y",-0.017157196
"310",22,"WALKING","tBodyAcc-mean()-Y",-0.017753253
"311",22,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.024416189
"312",22,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.0201735055
"313",23,"LAYING","tBodyAcc-mean()-Y",-0.018748755
"314",23,"SITTING","tBodyAcc-mean()-Y",-0.0165208825
"315",23,"STANDING","tBodyAcc-mean()-Y",-0.0180231185
"316",23,"WALKING","tBodyAcc-mean()-Y",-0.021252467
"317",23,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0199938805
"318",23,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.027141326
"319",24,"LAYING","tBodyAcc-mean()-Y",-0.0172001475
"320",24,"SITTING","tBodyAcc-mean()-Y",-0.0155715255
"321",24,"STANDING","tBodyAcc-mean()-Y",-0.014232447
"322",24,"WALKING","tBodyAcc-mean()-Y",-0.0217182945
"323",24,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.013276209
"324",24,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.021595924
"325",25,"LAYING","tBodyAcc-mean()-Y",-0.017962349
"326",25,"SITTING","tBodyAcc-mean()-Y",-0.016278185
"327",25,"STANDING","tBodyAcc-mean()-Y",-0.017105294
"328",25,"WALKING","tBodyAcc-mean()-Y",-0.019802311
"329",25,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0191127705
"330",25,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.023484333
"331",26,"LAYING","tBodyAcc-mean()-Y",-0.0174472285
"332",26,"SITTING","tBodyAcc-mean()-Y",-0.016875103
"333",26,"STANDING","tBodyAcc-mean()-Y",-0.01833592
"334",26,"WALKING","tBodyAcc-mean()-Y",-0.018940899
"335",26,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.017537877
"336",26,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.026848494
"337",27,"LAYING","tBodyAcc-mean()-Y",-0.0171609325
"338",27,"SITTING","tBodyAcc-mean()-Y",-0.016995406
"339",27,"STANDING","tBodyAcc-mean()-Y",-0.016854516
"340",27,"WALKING","tBodyAcc-mean()-Y",-0.014142748
"341",27,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0160115775
"342",27,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.01817146
"343",28,"LAYING","tBodyAcc-mean()-Y",-0.0171539755
"344",28,"SITTING","tBodyAcc-mean()-Y",-0.017556112
"345",28,"STANDING","tBodyAcc-mean()-Y",-0.017251453
"346",28,"WALKING","tBodyAcc-mean()-Y",-0.0179737435
"347",28,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0228233645
"348",28,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.021195874
"349",29,"LAYING","tBodyAcc-mean()-Y",-0.017110927
"350",29,"SITTING","tBodyAcc-mean()-Y",-0.017128125
"351",29,"STANDING","tBodyAcc-mean()-Y",-0.016758041
"352",29,"WALKING","tBodyAcc-mean()-Y",-0.015363553
"353",29,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.0204836655
"354",29,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.029003632
"355",30,"LAYING","tBodyAcc-mean()-Y",-0.0176549245
"356",30,"SITTING","tBodyAcc-mean()-Y",-0.017201474
"357",30,"STANDING","tBodyAcc-mean()-Y",-0.015991447
"358",30,"WALKING","tBodyAcc-mean()-Y",-0.019644743
"359",30,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Y",-0.020887301
"360",30,"WALKING_UPSTAIRS","tBodyAcc-mean()-Y",-0.021977717
"361",1,"LAYING","tBodyAcc-mean()-Z",-0.1081825
"362",1,"SITTING","tBodyAcc-mean()-Z",-0.10949351
"363",1,"STANDING","tBodyAcc-mean()-Z",-0.11033551
"364",1,"WALKING","tBodyAcc-mean()-Z",-0.11667518
"365",1,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.1095915
"366",1,"WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.10683037
"367",2,"LAYING","tBodyAcc-mean()-Z",-0.107825015
"368",2,"SITTING","tBodyAcc-mean()-Z",-0.105193445
"369",2,"STANDING","tBodyAcc-mean()-Z",-0.109954355
"370",2,"WALKING","tBodyAcc-mean()-Z",-0.11018469
"371",2,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.1260511
"372",2,"WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.129096195
"373",3,"LAYING","tBodyAcc-mean()-Z",-0.10569389
"374",3,"SITTING","tBodyAcc-mean()-Z",-0.1014464
"375",3,"STANDING","tBodyAcc-mean()-Z",-0.10844469
"376",3,"WALKING","tBodyAcc-mean()-Z",-0.113606905
"377",3,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.11660425
"378",3,"WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.11035526
"379",4,"LAYING","tBodyAcc-mean()-Z",-0.109159555
"380",4,"SITTING","tBodyAcc-mean()-Z",-0.109917775
"381",4,"STANDING","tBodyAcc-mean()-Z",-0.11634638
"382",4,"WALKING","tBodyAcc-mean()-Z",-0.10974587
"383",4,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.10476352
"384",4,"WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.1123374
"385",5,"LAYING","tBodyAcc-mean()-Z",-0.10822398
"386",5,"SITTING","tBodyAcc-mean()-Z",-0.110444575
"387",5,"STANDING","tBodyAcc-mean()-Z",-0.112706495
"388",5,"WALKING","tBodyAcc-mean()-Z",-0.10958637
"389",5,"WALKING_DOWNSTAIRS","tBodyAcc-mean()-Z",-0.1017713
"390",5,"WALKING_UPSTAIRS","tBodyAcc-mean()-Z",-0.10310971
"391",6,"LAYING","tBodyAcc-mean()-Z",-0.11880371
"392",6,"SITTING","tBodyAcc-mean()-Z",-0.10713564
"393",6,"STANDING","tBodyAcc-mean()-Z",-0.11044871
